NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NOM_TYPEPRODUCTION,NOM_PROVENANCE,NO_TYPEPRODUCTION,NO_PROVENANCE
4674,FUNNY CLIPS (projet pilote),"Pascal Carette, Gilles Denis et Pierre Paquin",2004,2004-10-24,2004-10-28,3,0,Télévision générale,Canadienne,14,6
4675,FRIC SHOW (projet pilote),Marc Cayer,2004,2004-11-08,2004-11-11,4,0,Télévision générale,Canadienne,14,6
4677,LOLA & ME,Desh Fernando,2004,2004-10-23,2004-11-07,8,0,Film étudiant,Canadienne,19,6
4678,SORTIE,Mathieu Drouin,2004,2004-10-30,2004-11-03,3,0,Film étudiant,Canadienne,19,6
4683,Debbie Travis' Facelift,Catherine Pilon,2004,2004-03-01,2004-12-31,90,0,Télévision générale,Canadienne,14,6
4684,AURORE,Luc Dionne,2004,2004-10-15,2004-12-14,10,0,Long métrage,Canadienne,11,6
4685,BANZAI,Mario Mercier et Patricia Beaulieu,2004,2004-01-01,2004-12-31,44,0,Télévision générale,Canadienne,14,6
4686,VIDEOTRON CÂBLE ET INTERNET,"Charles Éric Savard, Maxime Giroux",2004,2004-10-26,2004-10-27,2,0,Message publicitaire,Canadienne,15,6
4687,LE CHOIX DU PRÉSIDENT,Jean-Michel Ravon,2004,2004-10-26,2004-10-27,2,0,Message publicitaire,Canadienne,15,6
4688,La Maternité 2,Céline Gosselin,2004,2004-11-09,2004-11-09,1,0,Vidéo,Canadienne,17,6
4689,Le Show du Refuge,Pierre Seguin,2004,2004-11-08,2004-11-10,3,0,Vidéo,Canadienne,17,6
4690,MOVIE NETWORK,Marie-Julie Dallaire,2004,2004-10-25,2004-10-25,1,0,Message publicitaire,Canadienne,15,6
4692,DIVERS PUBLICITÉ,,2004,2004-10-21,2004-12-31,0,0,Message publicitaire,Canadienne,15,6
4693,Les Grands frères et Grandes surs,Sylvain Marcotte,2004,2004-11-02,2004-11-03,1,0,Message publicitaire,Canadienne,15,6
4694,Devil's Rose,Erahm Christopher,2004,2004-11-23,2004-11-30,7,0,Film étudiant,Canadienne,19,6
4695,THE RAT,Dean Bajramovic,2004,2004-11-01,2004-11-08,8,0,Film étudiant,Canadienne,19,6
4696,MOLSON DRY,Yves-Christian Fournier,2004,2004-10-27,2004-10-27,1,0,Message publicitaire,Canadienne,15,6
4698,REVERS DE LA MÉDAILLE,"Marc Plante, Réal Desrosiers, Daniel Poirier",2004,2004-09-01,2004-12-31,70,0,Télévision générale,Canadienne,14,6
4699,ÉPISODES,Hugues Tremblay,2004,2004-11-10,2004-11-17,7,0,Film étudiant,Canadienne,19,6
4700,3 NEEDLES,Thom Fitzgerald,2004,2004-10-28,2004-11-13,12,0,Long métrage,Canadienne,11,6
4701,TROC,Luis Oliva,2004,2004-11-19,2004-11-22,4,0,Court métrage,Canadienne,16,6
4702,VAS-Y!,François Péloquin,2004,2004-10-30,2004-10-31,2,0,Message publicitaire,Canadienne,15,6
4708,DISCOVERY,Michel Arsenault,2004,2004-11-02,2004-11-03,2,0,Message publicitaire,Canadienne,15,6
4710,L'ESPACE D'UNE FÊTE,Sébastien Hurtubise,2004,2004-10-29,2004-12-31,15,0,Télévision générale,Canadienne,14,6
4712,DISCOVERY,Michel Arsenault,2004,2004-11-03,2004-11-04,2,0,Message publicitaire,Canadienne,15,6
4713,IL Y EN A D'AUTRES À MONTREAL-NORD,,2004,2004-11-05,2004-11-10,6,0,Film étudiant,Canadienne,19,6
4714,Corpo Agence 2B,Tara John,2004,2004-11-08,2004-11-08,1,0,Message publicitaire,Canadienne,15,6
4716,NAKED JOSH 2,"Jim Donovan, James Allodi",2004,2004-11-15,2005-01-31,32,0,Série télévisée,Canadienne,13,6
